Train:   0%|                                                                                                                           | 0/7584 [00:00<?, ?it/s][INFO:swift] use_logits_to_keep: False
[WARNING:swift] The cross_entropy loss function defined in Liger Kernel will not take effect, potentially leading to increased GPU memory consumption.
Train:   1%|▋                                                                                                               | 50/7584 [03:18<8:14:40,  3.94s/it][INFO:swift] Saving model checkpoint to /home/team_cv/tdkien/ms-swift/output/v1-20251125-110813/checkpoint-50
{'loss': 0.09349667, 'grad_norm': 0.17830433, 'learning_rate': 2.2e-07, 'token_acc': 0.72323011, 'epoch': 0.01, 'global_step/max_steps': '85/7584', 'percentage': '1.12%', 'elapsed_time': '5m 42s', 'remaining_time': '8h 23m 12s', 'memory(GiB)': 24.87, 'train_speed(iter/s)': 0.248371}
{'loss': 0.09318632, 'grad_norm': 0.16506651, 'learning_rate': 2.4e-07, 'token_acc': 0.7313398, 'epoch': 0.01, 'global_step/max_steps': '90/7584', 'percentage': '1.19%', 'elapsed_time': '6m 2s', 'remaining_time': '8h 22m 58s', 'memory(GiB)': 24.87, 'train_speed(iter/s)': 0.248324}
{'loss': 0.09252446, 'grad_norm': 0.16649142, 'learning_rate': 2.5e-07, 'token_acc': 0.73202097, 'epoch': 0.01, 'global_step/max_steps': '95/7584', 'percentage': '1.25%', 'elapsed_time': '6m 23s', 'remaining_time': '8h 23m 33s', 'memory(GiB)': 24.87, 'train_speed(iter/s)': 0.247873}
{'loss': 0.09434657, 'grad_norm': 0.17128703, 'learning_rate': 2.6e-07, 'token_acc': 0.72264385, 'epoch': 0.01, 'global_step/max_steps': '100/7584', 'percentage': '1.32%', 'elapsed_time': '6m 43s', 'remaining_time': '8h 23m 17s', 'memory(GiB)': 24.87, 'train_speed(iter/s)': 0.247836}
Train:   2%|██▏                                                                                                            | 150/7584 [10:10<8:12:42,  3.98s/it][INFO:swift] Saving model checkpoint to /home/team_cv/tdkien/ms-swift/output/v1-20251125-110813/checkpoint-150
{'loss': 0.09499795, 'grad_norm': 0.18287203, 'learning_rate': 2.8e-07, 'token_acc': 0.72242628, 'epoch': 0.01, 'global_step/max_steps': '105/7584', 'percentage': '1.38%', 'elapsed_time': '7m 8s', 'remaining_time': '8h 28m 31s', 'memory(GiB)': 24.87, 'train_speed(iter/s)': 0.245117}
{'loss': 0.09267669, 'grad_norm': 0.18467413, 'learning_rate': 2.9e-07, 'token_acc': 0.72620091, 'epoch': 0.01, 'global_step/max_steps': '110/7584', 'percentage': '1.45%', 'elapsed_time': '7m 28s', 'remaining_time': '8h 27m 58s', 'memory(GiB)': 24.87, 'train_speed(iter/s)': 0.245223}
{'loss': 0.09336262, 'grad_norm': 0.17157497, 'learning_rate': 3e-07, 'token_acc': 0.71568984, 'epoch': 0.02, 'global_step/max_steps': '115/7584', 'percentage': '1.52%', 'elapsed_time': '7m 48s', 'remaining_time': '8h 27m 2s', 'memory(GiB)': 24.87, 'train_speed(iter/s)': 0.24551}
{'loss': 0.09841664, 'grad_norm': 0.19166368, 'learning_rate': 3.2e-07, 'token_acc': 0.70731707, 'epoch': 0.02, 'global_step/max_steps': '120/7584', 'percentage': '1.58%', 'elapsed_time': '8m 8s', 'remaining_time': '8h 26m 54s', 'memory(GiB)': 24.87, 'train_speed(iter/s)': 0.245409}
{'loss': 0.09462959, 'grad_norm': 0.19962522, 'learning_rate': 3.3e-07, 'token_acc': 0.72190331, 'epoch': 0.02, 'global_step/max_steps': '125/7584', 'percentage': '1.65%', 'elapsed_time': '8m 27s', 'remaining_time': '8h 25m 2s', 'memory(GiB)': 24.87, 'train_speed(iter/s)': 0.246153}
{'loss': 0.09049516, 'grad_norm': 0.1460948, 'learning_rate': 3.4e-07, 'token_acc': 0.74526027, 'epoch': 0.02, 'global_step/max_steps': '130/7584', 'percentage': '1.71%', 'elapsed_time': '8m 51s', 'remaining_time': '8h 27m 38s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.244723}
{'loss': 0.0973408, 'grad_norm': 0.22615434, 'learning_rate': 3.6e-07, 'token_acc': 0.71278189, 'epoch': 0.02, 'global_step/max_steps': '135/7584', 'percentage': '1.78%', 'elapsed_time': '9m 10s', 'remaining_time': '8h 26m 16s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.24522}
{'loss': 0.09397944, 'grad_norm': 0.16708639, 'learning_rate': 3.7e-07, 'token_acc': 0.71987629, 'epoch': 0.02, 'global_step/max_steps': '140/7584', 'percentage': '1.85%', 'elapsed_time': '9m 30s', 'remaining_time': '8h 25m 13s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.24557}
{'loss': 0.09484782, 'grad_norm': 0.17304777, 'learning_rate': 3.8e-07, 'token_acc': 0.7199827, 'epoch': 0.02, 'global_step/max_steps': '145/7584', 'percentage': '1.91%', 'elapsed_time': '9m 50s', 'remaining_time': '8h 24m 59s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.245517}
{'loss': 0.09607226, 'grad_norm': 0.18494168, 'learning_rate': 3.9e-07, 'token_acc': 0.70870086, 'epoch': 0.02, 'global_step/max_steps': '150/7584', 'percentage': '1.98%', 'elapsed_time': '10m 10s', 'remaining_time': '8h 23m 56s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.245861}
Train:   3%|██▉                                                                                                            | 200/7584 [13:37<8:56:35,  4.36s/it][INFO:swift] Saving model checkpoint to /home/team_cv/tdkien/ms-swift/output/v1-20251125-110813/checkpoint-200
{'loss': 0.09260033, 'grad_norm': 0.17462404, 'learning_rate': 4.1e-07, 'token_acc': 0.71666598, 'epoch': 0.02, 'global_step/max_steps': '155/7584', 'percentage': '2.04%', 'elapsed_time': '10m 33s', 'remaining_time': '8h 25m 57s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.244716}
{'loss': 0.09636474, 'grad_norm': 0.1826417, 'learning_rate': 4.2e-07, 'token_acc': 0.71535581, 'epoch': 0.02, 'global_step/max_steps': '160/7584', 'percentage': '2.11%', 'elapsed_time': '10m 53s', 'remaining_time': '8h 25m 39s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.244694}
{'loss': 0.09283533, 'grad_norm': 0.16102198, 'learning_rate': 4.3e-07, 'token_acc': 0.72894475, 'epoch': 0.02, 'global_step/max_steps': '165/7584', 'percentage': '2.18%', 'elapsed_time': '11m 15s', 'remaining_time': '8h 25m 51s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.244438}
{'loss': 0.09441708, 'grad_norm': 0.1902411, 'learning_rate': 4.5e-07, 'token_acc': 0.72064366, 'epoch': 0.02, 'global_step/max_steps': '170/7584', 'percentage': '2.24%', 'elapsed_time': '11m 36s', 'remaining_time': '8h 26m 3s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.244178}
{'loss': 0.09103859, 'grad_norm': 0.18350485, 'learning_rate': 4.6e-07, 'token_acc': 0.73696047, 'epoch': 0.02, 'global_step/max_steps': '175/7584', 'percentage': '2.31%', 'elapsed_time': '11m 56s', 'remaining_time': '8h 25m 36s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.244227}
{'loss': 0.09189114, 'grad_norm': 0.17498726, 'learning_rate': 4.7e-07, 'token_acc': 0.73404371, 'epoch': 0.02, 'global_step/max_steps': '180/7584', 'percentage': '2.37%', 'elapsed_time': '12m 17s', 'remaining_time': '8h 25m 36s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.244066}
{'loss': 0.09309418, 'grad_norm': 0.16686527, 'learning_rate': 4.9e-07, 'token_acc': 0.71835298, 'epoch': 0.02, 'global_step/max_steps': '185/7584', 'percentage': '2.44%', 'elapsed_time': '12m 36s', 'remaining_time': '8h 24m 11s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.244581}
{'loss': 0.09460932, 'grad_norm': 0.19552529, 'learning_rate': 5e-07, 'token_acc': 0.72470362, 'epoch': 0.03, 'global_step/max_steps': '190/7584', 'percentage': '2.51%', 'elapsed_time': '12m 55s', 'remaining_time': '8h 23m 9s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.244919}
{'loss': 0.09192474, 'grad_norm': 0.18092076, 'learning_rate': 5.1e-07, 'token_acc': 0.7299913, 'epoch': 0.03, 'global_step/max_steps': '195/7584', 'percentage': '2.57%', 'elapsed_time': '13m 16s', 'remaining_time': '8h 23m 15s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.244705}
{'loss': 0.09178213, 'grad_norm': 0.15953225, 'learning_rate': 5.3e-07, 'token_acc': 0.73052312, 'epoch': 0.03, 'global_step/max_steps': '200/7584', 'percentage': '2.64%', 'elapsed_time': '13m 37s', 'remaining_time': '8h 22m 49s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.244748}
Train:   3%|███▋                                                                                                           | 250/7584 [17:01<8:19:17,  4.08s/it][INFO:swift] Saving model checkpoint to /home/team_cv/tdkien/ms-swift/output/v1-20251125-110813/checkpoint-250
{'loss': 0.09085381, 'grad_norm': 0.1807469, 'learning_rate': 5.4e-07, 'token_acc': 0.73467655, 'epoch': 0.03, 'global_step/max_steps': '205/7584', 'percentage': '2.70%', 'elapsed_time': '14m 0s', 'remaining_time': '8h 24m 28s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.243786}
{'loss': 0.09296101, 'grad_norm': 0.19674353, 'learning_rate': 5.5e-07, 'token_acc': 0.72356693, 'epoch': 0.03, 'global_step/max_steps': '210/7584', 'percentage': '2.77%', 'elapsed_time': '14m 20s', 'remaining_time': '8h 23m 49s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.243936}
{'loss': 0.09014392, 'grad_norm': 0.19755821, 'learning_rate': 5.7e-07, 'token_acc': 0.729093, 'epoch': 0.03, 'global_step/max_steps': '215/7584', 'percentage': '2.83%', 'elapsed_time': '14m 39s', 'remaining_time': '8h 22m 29s', 'memory(GiB)': 27.21, 'train_speed(iter/s)': 0.244416}
